,Timestamp (UTC),NUST-Pk 8,NUST- Pk 9,NUST- Pk 11,NUST- Pk 12,NUST- Pk 13,NUST- Pk 14,NUST- Pk 15,NUST- Pk 16,NUST- Pk 17
0,04/22 00,9.161904761904761,8.980582524271844,8.879310344827587,8.821428571428571,8.952380952380953,,8.857142857142858,8.873239436619718,
1,04/22 01,7.857142857142857,7.815533980582525,7.560344827586207,7.616071428571427,7.476190476190475,,7.619047619047619,7.52112676056338,
2,04/22 02,6.447619047619047,6.524271844660194,6.275862068965518,6.624999999999999,6.542857142857143,,6.447619047619047,6.443661971830987,
3,04/22 03,8.238095238095237,8.174757281553397,8.301724137931036,8.437499999999998,8.790476190476191,,8.380952380952381,8.5,
4,04/22 04,8.314285714285715,8.233009708737864,8.258620689655173,8.321428571428571,8.666666666666666,,8.114285714285714,8.542253521126762,
5,04/22 05,8.714285714285714,8.766990291262134,8.551724137931036,8.794642857142856,8.923809523809522,,8.666666666666666,8.767605633802816,
6,04/22 06,8.209523809523809,8.504854368932039,7.844827586206897,8.241071428571429,8.314285714285715,,8.047619047619047,8.15492957746479,
7,04/22 07,8.17142857142857,8.592233009708737,8.344827586206897,8.366071428571427,8.542857142857143,,8.123809523809523,8.450704225352114,
8,04/22 08,8.17142857142857,8.320388349514563,8.086206896551726,8.196428571428571,8.066666666666666,,7.857142857142857,8.23943661971831,
9,04/22 09,7.828571428571429,8.155339805825243,7.689655172413794,7.812499999999999,7.685714285714286,,7.523809523809524,7.725352112676057,
10,04/22 10,8.19047619047619,8.398058252427184,8.172413793103448,8.196428571428571,8.17142857142857,,7.952380952380952,8.04225352112676,
11,04/22 11,8.428571428571427,8.41747572815534,8.31896551724138,,8.247619047619047,,7.9904761904761905,8.352112676056338,
12,04/22 12,9.666666666666666,,9.896551724137932,,9.38095238095238,9.4375,9.333333333333334,9.626760563380282,
13,04/22 13,11.980952380952381,12.281553398058252,12.086206896551724,11.767857142857142,11.36190476190476,11.390625,11.619047619047619,11.669014084507044,11.460869565217392
14,04/22 14,8.457142857142857,8.495145631067961,8.301724137931036,8.1875,8.076190476190476,8.1640625,8.076190476190476,8.098591549295776,8.02608695652174
15,04/22 15,4.20952380952381,4.271844660194175,3.991379310344828,4.133928571428571,4.0476190476190474,4.203125,4.114285714285715,4.098591549295775,4.086956521739131
16,04/22 16,5.685714285714285,5.650485436893204,5.517241379310345,5.428571428571428,5.523809523809524,5.5078125,5.476190476190476,5.408450704225352,5.452173913043478
17,04/22 17,6.742857142857143,6.475728155339805,6.482758620689656,6.491071428571428,6.666666666666666,6.539062499999999,6.542857142857143,6.528169014084507,6.391304347826087
18,04/22 18,8.619047619047619,8.592233009708737,8.836206896551724,8.6875,8.790476190476191,8.7734375,8.780952380952382,8.866197183098592,8.582608695652175
19,04/22 19,9.742857142857142,9.776699029126213,9.698275862068966,9.553571428571427,9.542857142857143,9.46875,9.571428571428571,9.591549295774648,9.408695652173915
20,04/22 20,10.476190476190476,10.873786407766989,10.81896551724138,10.607142857142858,10.409523809523808,10.234375,10.504761904761903,10.725352112676058,10.330434782608696
21,04/22 21,14.257142857142858,14.145631067961165,14.31034482758621,14.196428571428571,14.238095238095237,14.0078125,14.17142857142857,14.105633802816904,14.069565217391306
22,04/22 22,20.504761904761907,20.563106796116504,20.75862068965517,20.553571428571427,20.19047619047619,19.8671875,20.599999999999998,20.514084507042252,19.782608695652176
23,04/22 23,19.047619047619047,19.7378640776699,19.094827586206897,19.178571428571427,18.74285714285714,18.359375,18.257142857142856,19.035211267605636,18.65217391304348
24,04/23 00,11.285714285714285,11.37864077669903,11.35344827586207,11.383928571428571,11.352380952380951,11.171875,11.219047619047618,11.387323943661974,10.956521739130435
25,04/23 01,13.476190476190476,14.0,13.258620689655174,13.589285714285714,13.257142857142856,13.0859375,13.495238095238095,13.429577464788734,13.260869565217392
26,04/23 02,26.447619047619046,27.33009708737864,26.879310344827587,27.794642857142854,27.83809523809524,25.78125,26.495238095238093,27.605633802816904,27.200000000000003
27,04/23 03,10.59047619047619,10.436893203883495,10.706896551724139,10.89285714285714,11.619047619047619,10.640625,10.20952380952381,10.690140845070422,11.243478260869566
28,04/23 04,7.219047619047619,7.16504854368932,7.413793103448276,7.4553571428571415,7.933333333333333,7.242187499999999,7.0476190476190474,7.415492957746479,7.765217391304348
29,04/23 05,6.3619047619047615,6.58252427184466,6.5775862068965525,6.455357142857142,6.780952380952381,6.3671875,6.238095238095237,6.549295774647888,6.547826086956523
30,04/23 06,5.647619047619047,5.825242718446602,5.663793103448277,5.714285714285714,6.0,5.6484375,5.552380952380952,5.830985915492958,5.756521739130435
31,04/23 07,4.79047619047619,4.854368932038835,4.629310344827586,4.553571428571428,4.828571428571428,4.6640625,4.571428571428571,4.823943661971831,4.678260869565218
32,04/23 08,4.6952380952380945,4.737864077669903,4.422413793103448,4.580357142857142,4.7333333333333325,4.515625,4.542857142857142,4.591549295774648,4.521739130434783
33,04/23 09,4.219047619047618,4.174757281553398,3.862068965517242,3.9732142857142856,4.019047619047619,4.0,3.933333333333333,3.97887323943662,4.043478260869565
34,04/23 10,3.971428571428571,4.048543689320388,3.862068965517242,3.705357142857143,3.9238095238095236,3.96875,3.8857142857142857,3.908450704225352,3.782608695652174
35,04/23 11,4.019047619047619,4.106796116504855,3.7758620689655173,3.839285714285714,3.904761904761904,3.9218749999999996,3.8095238095238093,4.035211267605634,3.8086956521739133
36,04/23 12,3.6666666666666665,3.7669902912621356,3.517241379310345,3.508928571428571,3.552380952380952,3.609375,3.552380952380952,3.570422535211268,3.4521739130434788
37,04/23 13,4.523809523809524,4.7864077669902905,4.741379310344828,4.732142857142857,4.79047619047619,4.53125,4.685714285714285,4.774647887323944,4.504347826086956
38,04/23 14,11.876190476190477,12.49514563106796,12.431034482758621,11.982142857142856,12.047619047619047,11.5859375,11.742857142857142,12.19718309859155,11.478260869565217
39,04/23 15,23.171428571428567,23.708737864077673,23.431034482758623,23.241071428571427,23.095238095238095,22.421875,23.257142857142856,23.218309859154928,23.24347826086957
40,04/23 16,19.742857142857144,19.689320388349515,18.982758620689655,19.178571428571427,19.114285714285714,19.5078125,19.761904761904763,18.859154929577468,19.808695652173917
41,04/23 17,14.19047619047619,13.912621359223301,13.836206896551726,13.955357142857142,13.933333333333334,14.0625,13.923809523809522,13.746478873239438,13.460869565217394
42,04/23 18,15.047619047619047,14.485436893203882,14.715517241379311,14.535714285714285,14.428571428571429,14.84375,14.828571428571427,14.704225352112676,14.695652173913043
43,04/23 19,19.333333333333332,18.02912621359223,17.82758620689655,18.32142857142857,18.20952380952381,19.125,18.93333333333333,18.049295774647888,18.547826086956523
44,04/23 20,14.619047619047619,15.067961165048542,14.896551724137932,14.848214285714283,15.076190476190476,14.4765625,14.742857142857142,14.929577464788732,14.547826086956523
45,04/23 21,20.55238095238095,20.40776699029126,20.27586206896552,20.419642857142858,20.257142857142856,20.21875,20.504761904761907,20.295774647887324,20.104347826086958
46,04/23 22,39.028571428571425,39.49514563106796,38.793103448275865,39.598214285714285,38.63809523809524,38.3359375,39.01904761904762,39.105633802816904,39.14782608695653
47,04/23 23,25.885714285714286,25.067961165048544,25.758620689655174,24.928571428571427,25.428571428571427,26.5,26.142857142857142,25.633802816901408,24.50434782608696
48,04/24 00,36.74285714285714,36.37864077669903,35.37068965517242,35.49107142857142,35.31428571428571,37.0078125,36.95238095238095,35.52816901408451,36.08695652173913
49,04/24 01,34.142857142857146,33.42718446601942,35.10344827586207,34.6875,35.49523809523809,34.84375,34.16190476190476,34.73943661971831,34.365217391304355
50,04/24 02,26.714285714285715,26.37864077669903,27.267241379310345,27.20535714285714,28.780952380952378,27.203125,25.933333333333334,27.063380281690144,28.347826086956527
51,04/24 03,21.45714285714286,21.0873786407767,21.92241379310345,21.919642857142854,23.42857142857143,21.9921875,21.17142857142857,22.077464788732396,23.19130434782609
52,04/24 04,7.552380952380952,7.7864077669902905,7.482758620689656,7.69642857142857,7.6,7.5390625,7.285714285714286,7.584507042253521,7.582608695652175
53,04/24 05,4.495238095238095,4.708737864077669,4.551724137931035,4.526785714285714,4.571428571428571,4.203125,4.333333333333333,4.647887323943662,4.460869565217392
54,04/24 06,4.6952380952380945,5.0291262135922326,4.827586206896552,4.714285714285714,4.876190476190476,4.5703125,4.523809523809524,4.873239436619719,4.582608695652174
55,04/24 07,5.114285714285714,5.359223300970873,5.172413793103448,5.044642857142857,5.066666666666666,4.9453125,4.885714285714285,5.190140845070423,4.91304347826087
56,04/24 08,4.647619047619047,5.0,4.7155172413793105,4.580357142857142,4.685714285714285,4.4765625,4.409523809523809,4.669014084507042,4.547826086956523
57,04/24 09,4.3619047619047615,4.689320388349515,4.5086206896551735,4.357142857142857,4.3809523809523805,4.1953125,4.219047619047618,4.492957746478873,4.217391304347826
58,04/24 10,4.7333333333333325,4.922330097087379,4.810344827586207,4.687499999999999,4.685714285714285,4.625,4.666666666666667,4.809859154929578,4.565217391304349
59,04/24 11,4.78095238095238,4.902912621359223,4.672413793103448,4.705357142857142,4.885714285714285,4.6875,4.78095238095238,4.873239436619719,4.678260869565218
